,match,bowling_team,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB,match_id
254,New Zealand VS Australia,Australia,Mitchell Santner,4,0,31,3,7.75,10,2,2,0,0,T20I # 1839
255,New Zealand VS Australia,Australia,"3.6 to AJ Finch, Finch looks for a similar shot to Marsh but does not get the elevation! Flighted outside off, he gives himself room, looking to loft over the covers. Does not get all of it and Williamson at extra cover pouces a good catch, reverse-cup.. 30/28.2 to MP Stoinis, Oh, my days what a catch! Superman, you play cricket? Floated outside off. He gives himself room and gets a good chunk of it over covers. He would have been anticipating at least a couple of runs there, if not more. But Phillips runs to his right from deep cover, leaps full-length, parallel to the ground, gets both hands to it and completes a catch to remember. Certainly a contender for catch of the tournament! . 50/410.2 to TH David, Six and out! Caught by Neesham at deep miwicket this time. The last ball was fuller, this is even shorter and turns away further from David. He slogs again but does not get enough elevation to clear Neesham. Santner's evening has gotten better. 68/5See all photos","3.6 to AJ Finch, Finch looks for a similar shot to Marsh but does not get the elevation! Flighted outside off, he gives himself room, looking to loft over the covers. Does not get all of it and Williamson at extra cover pouces a good catch, reverse-cup.. 30/28.2 to MP Stoinis, Oh, my days what a catch! Superman, you play cricket? Floated outside off. He gives himself room and gets a good chunk of it over covers. He would have been anticipating at least a couple of runs there, if not more. But Phillips runs to his right from deep cover, leaps full-length, parallel to the ground, gets both hands to it and completes a catch to remember. Certainly a contender for catch of the tournament! . 50/410.2 to TH David, Six and out! Caught by Neesham at deep miwicket this time. The last ball was fuller, this is even shorter and turns away further from David. He slogs again but does not get enough elevation to clear Neesham. Santner's evening has gotten better. 68/5See all photos","3.6 to AJ Finch, Finch looks for a similar shot to Marsh but does not get the elevation! Flighted outside off, he gives himself room, looking to loft over the covers. Does not get all of it and Williamson at extra cover pouces a good catch, reverse-cup.. 30/28.2 to MP Stoinis, Oh, my days what a catch! Superman, you play cricket? Floated outside off. He gives himself room and gets a good chunk of it over covers. He would have been anticipating at least a couple of runs there, if not more. But Phillips runs to his right from deep cover, leaps full-length, parallel to the ground, gets both hands to it and completes a catch to remember. Certainly a contender for catch of the tournament! . 50/410.2 to TH David, Six and out! Caught by Neesham at deep miwicket this time. The last ball was fuller, this is even shorter and turns away further from David. He slogs again but does not get enough elevation to clear Neesham. Santner's evening has gotten better. 68/5See all photos","3.6 to AJ Finch, Finch looks for a similar shot to Marsh but does not get the elevation! Flighted outside off, he gives himself room, looking to loft over the covers. Does not get all of it and Williamson at extra cover pouces a good catch, reverse-cup.. 30/28.2 to MP Stoinis, Oh, my days what a catch! Superman, you play cricket? Floated outside off. He gives himself room and gets a good chunk of it over covers. He would have been anticipating at least a couple of runs there, if not more. But Phillips runs to his right from deep cover, leaps full-length, parallel to the ground, gets both hands to it and completes a catch to remember. Certainly a contender for catch of the tournament! . 50/410.2 to TH David, Six and out! Caught by Neesham at deep miwicket this time. The last ball was fuller, this is even shorter and turns away further from David. He slogs again but does not get enough elevation to clear Neesham. Santner's evening has gotten better. 68/5See all photos","3.6 to AJ Finch, Finch looks for a similar shot to Marsh but does not get the elevation! Flighted outside off, he gives himself room, looking to loft over the covers. Does not get all of it and Williamson at extra cover pouces a good catch, reverse-cup.. 30/28.2 to MP Stoinis, Oh, my days what a catch! Superman, you play cricket? Floated outside off. He gives himself room and gets a good chunk of it over covers. He would have been anticipating at least a couple of runs there, if not more. But Phillips runs to his right from deep cover, leaps full-length, parallel to the ground, gets both hands to it and completes a catch to remember. Certainly a contender for catch of the tournament! . 50/410.2 to TH David, Six and out! Caught by Neesham at deep miwicket this time. The last ball was fuller, this is even shorter and turns away further from David. He slogs again but does not get enough elevation to clear Neesham. Santner's evening has gotten better. 68/5See all photos","3.6 to AJ Finch, Finch looks for a similar shot to Marsh but does not get the elevation! Flighted outside off, he gives himself room, looking to loft over the covers. Does not get all of it and Williamson at extra cover pouces a good catch, reverse-cup.. 30/28.2 to MP Stoinis, Oh, my days what a catch! Superman, you play cricket? Floated outside off. He gives himself room and gets a good chunk of it over covers. He would have been anticipating at least a couple of runs there, if not more. But Phillips runs to his right from deep cover, leaps full-length, parallel to the ground, gets both hands to it and completes a catch to remember. Certainly a contender for catch of the tournament! . 50/410.2 to TH David, Six and out! Caught by Neesham at deep miwicket this time. The last ball was fuller, this is even shorter and turns away further from David. He slogs again but does not get enough elevation to clear Neesham. Santner's evening has gotten better. 68/5See all photos","3.6 to AJ Finch, Finch looks for a similar shot to Marsh but does not get the elevation! Flighted outside off, he gives himself room, looking to loft over the covers. Does not get all of it and Williamson at extra cover pouces a good catch, reverse-cup.. 30/28.2 to MP Stoinis, Oh, my days what a catch! Superman, you play cricket? Floated outside off. He gives himself room and gets a good chunk of it over covers. He would have been anticipating at least a couple of runs there, if not more. But Phillips runs to his right from deep cover, leaps full-length, parallel to the ground, gets both hands to it and completes a catch to remember. Certainly a contender for catch of the tournament! . 50/410.2 to TH David, Six and out! Caught by Neesham at deep miwicket this time. The last ball was fuller, this is even shorter and turns away further from David. He slogs again but does not get enough elevation to clear Neesham. Santner's evening has gotten better. 68/5See all photos","3.6 to AJ Finch, Finch looks for a similar shot to Marsh but does not get the elevation! Flighted outside off, he gives himself room, looking to loft over the covers. Does not get all of it and Williamson at extra cover pouces a good catch, reverse-cup.. 30/28.2 to MP Stoinis, Oh, my days what a catch! Superman, you play cricket? Floated outside off. He gives himself room and gets a good chunk of it over covers. He would have been anticipating at least a couple of runs there, if not more. But Phillips runs to his right from deep cover, leaps full-length, parallel to the ground, gets both hands to it and completes a catch to remember. Certainly a contender for catch of the tournament! . 50/410.2 to TH David, Six and out! Caught by Neesham at deep miwicket this time. The last ball was fuller, this is even shorter and turns away further from David. He slogs again but does not get enough elevation to clear Neesham. Santner's evening has gotten better. 68/5See all photos","3.6 to AJ Finch, Finch looks for a similar shot to Marsh but does not get the elevation! Flighted outside off, he gives himself room, looking to loft over the covers. Does not get all of it and Williamson at extra cover pouces a good catch, reverse-cup.. 30/28.2 to MP Stoinis, Oh, my days what a catch! Superman, you play cricket? Floated outside off. He gives himself room and gets a good chunk of it over covers. He would have been anticipating at least a couple of runs there, if not more. But Phillips runs to his right from deep cover, leaps full-length, parallel to the ground, gets both hands to it and completes a catch to remember. Certainly a contender for catch of the tournament! . 50/410.2 to TH David, Six and out! Caught by Neesham at deep miwicket this time. The last ball was fuller, this is even shorter and turns away further from David. He slogs again but does not get enough elevation to clear Neesham. Santner's evening has gotten better. 68/5See all photos","3.6 to AJ Finch, Finch looks for a similar shot to Marsh but does not get the elevation! Flighted outside off, he gives himself room, looking to loft over the covers. Does not get all of it and Williamson at extra cover pouces a good catch, reverse-cup.. 30/28.2 to MP Stoinis, Oh, my days what a catch! Superman, you play cricket? Floated outside off. He gives himself room and gets a good chunk of it over covers. He would have been anticipating at least a couple of runs there, if not more. But Phillips runs to his right from deep cover, leaps full-length, parallel to the ground, gets both hands to it and completes a catch to remember. Certainly a contender for catch of the tournament! . 50/410.2 to TH David, Six and out! Caught by Neesham at deep miwicket this time. The last ball was fuller, this is even shorter and turns away further from David. He slogs again but does not get enough elevation to clear Neesham. Santner's evening has gotten better. 68/5See all photos","3.6 to AJ Finch, Finch looks for a similar shot to Marsh but does not get the elevation! Flighted outside off, he gives himself room, looking to loft over the covers. Does not get all of it and Williamson at extra cover pouces a good catch, reverse-cup.. 30/28.2 to MP Stoinis, Oh, my days what a catch! Superman, you play cricket? Floated outside off. He gives himself room and gets a good chunk of it over covers. He would have been anticipating at least a couple of runs there, if not more. But Phillips runs to his right from deep cover, leaps full-length, parallel to the ground, gets both hands to it and completes a catch to remember. Certainly a contender for catch of the tournament! . 50/410.2 to TH David, Six and out! Caught by Neesham at deep miwicket this time. The last ball was fuller, this is even shorter and turns away further from David. He slogs again but does not get enough elevation to clear Neesham. Santner's evening has gotten better. 68/5See all photos",T20I # 1839
256,New Zealand VS Australia,Australia,Lockie Ferguson,3,0,20,1,6.66,9,2,1,0,0,T20I # 1839
257,New Zealand VS Australia,Australia,"12.2 to MS Wade, Edged and gone! On a length outside off, he looks for a drive on the up but that wasn't full enough. Wade can only get a thick edge with Conway completing a comfortable take. Ferguson is pumped up and why not!. 82/6","12.2 to MS Wade, Edged and gone! On a length outside off, he looks for a drive on the up but that wasn't full enough. Wade can only get a thick edge with Conway completing a comfortable take. Ferguson is pumped up and why not!. 82/6","12.2 to MS Wade, Edged and gone! On a length outside off, he looks for a drive on the up but that wasn't full enough. Wade can only get a thick edge with Conway completing a comfortable take. Ferguson is pumped up and why not!. 82/6","12.2 to MS Wade, Edged and gone! On a length outside off, he looks for a drive on the up but that wasn't full enough. Wade can only get a thick edge with Conway completing a comfortable take. Ferguson is pumped up and why not!. 82/6","12.2 to MS Wade, Edged and gone! On a length outside off, he looks for a drive on the up but that wasn't full enough. Wade can only get a thick edge with Conway completing a comfortable take. Ferguson is pumped up and why not!. 82/6","12.2 to MS Wade, Edged and gone! On a length outside off, he looks for a drive on the up but that wasn't full enough. Wade can only get a thick edge with Conway completing a comfortable take. Ferguson is pumped up and why not!. 82/6","12.2 to MS Wade, Edged and gone! On a length outside off, he looks for a drive on the up but that wasn't full enough. Wade can only get a thick edge with Conway completing a comfortable take. Ferguson is pumped up and why not!. 82/6","12.2 to MS Wade, Edged and gone! On a length outside off, he looks for a drive on the up but that wasn't full enough. Wade can only get a thick edge with Conway completing a comfortable take. Ferguson is pumped up and why not!. 82/6","12.2 to MS Wade, Edged and gone! On a length outside off, he looks for a drive on the up but that wasn't full enough. Wade can only get a thick edge with Conway completing a comfortable take. Ferguson is pumped up and why not!. 82/6","12.2 to MS Wade, Edged and gone! On a length outside off, he looks for a drive on the up but that wasn't full enough. Wade can only get a thick edge with Conway completing a comfortable take. Ferguson is pumped up and why not!. 82/6","12.2 to MS Wade, Edged and gone! On a length outside off, he looks for a drive on the up but that wasn't full enough. Wade can only get a thick edge with Conway completing a comfortable take. Ferguson is pumped up and why not!. 82/6",T20I # 1839
258,New Zealand VS Australia,Australia,Ish Sodhi,4,0,29,1,7.25,8,2,1,1,0,T20I # 1839
259,New Zealand VS Australia,Australia,"13.3 to GJ Maxwell, Sodhi knocks over Maxwell. The asking rate keeps soaring. Maxwell goes for another big reverse-sweep, he dares to take it from the stumps. He misses it this time. Sodhi hits the top of leg stump and celebrates. 89/7","13.3 to GJ Maxwell, Sodhi knocks over Maxwell. The asking rate keeps soaring. Maxwell goes for another big reverse-sweep, he dares to take it from the stumps. He misses it this time. Sodhi hits the top of leg stump and celebrates. 89/7","13.3 to GJ Maxwell, Sodhi knocks over Maxwell. The asking rate keeps soaring. Maxwell goes for another big reverse-sweep, he dares to take it from the stumps. He misses it this time. Sodhi hits the top of leg stump and celebrates. 89/7","13.3 to GJ Maxwell, Sodhi knocks over Maxwell. The asking rate keeps soaring. Maxwell goes for another big reverse-sweep, he dares to take it from the stumps. He misses it this time. Sodhi hits the top of leg stump and celebrates. 89/7","13.3 to GJ Maxwell, Sodhi knocks over Maxwell. The asking rate keeps soaring. Maxwell goes for another big reverse-sweep, he dares to take it from the stumps. He misses it this time. Sodhi hits the top of leg stump and celebrates. 89/7","13.3 to GJ Maxwell, Sodhi knocks over Maxwell. The asking rate keeps soaring. Maxwell goes for another big reverse-sweep, he dares to take it from the stumps. He misses it this time. Sodhi hits the top of leg stump and celebrates. 89/7","13.3 to GJ Maxwell, Sodhi knocks over Maxwell. The asking rate keeps soaring. Maxwell goes for another big reverse-sweep, he dares to take it from the stumps. He misses it this time. Sodhi hits the top of leg stump and celebrates. 89/7","13.3 to GJ Maxwell, Sodhi knocks over Maxwell. The asking rate keeps soaring. Maxwell goes for another big reverse-sweep, he dares to take it from the stumps. He misses it this time. Sodhi hits the top of leg stump and celebrates. 89/7","13.3 to GJ Maxwell, Sodhi knocks over Maxwell. The asking rate keeps soaring. Maxwell goes for another big reverse-sweep, he dares to take it from the stumps. He misses it this time. Sodhi hits the top of leg stump and celebrates. 89/7","13.3 to GJ Maxwell, Sodhi knocks over Maxwell. The asking rate keeps soaring. Maxwell goes for another big reverse-sweep, he dares to take it from the stumps. He misses it this time. Sodhi hits the top of leg stump and celebrates. 89/7","13.3 to GJ Maxwell, Sodhi knocks over Maxwell. The asking rate keeps soaring. Maxwell goes for another big reverse-sweep, he dares to take it from the stumps. He misses it this time. Sodhi hits the top of leg stump and celebrates. 89/7",T20I # 1839
260,Afghanistan VS England,Afghanistan,Ben Stokes,4,0,19,2,4.75,14,2,0,1,0,T20I # 1840
261,Afghanistan VS England,Afghanistan,"6.3 to Hazratullah Zazai, hacked over backward point... Livingstone holds a blinder! Big celebration from the fielder, as he runs around in the deep and plunges full length for the catch. Hazrat haznot timed many tonight, but he almost hit that too well, such was the hang time that allowed Livingstone to get under it. 35/214.1 to Najibullah Zadran, another brilliant catch today, this time by Rashid! Great effort there, as he has to turn around at midwicket, and run rather gently while ensuring he doesn't lose his concentration off the ball. And is it descends, he stretches and dives forward as the ball is stuck in his fingers. It was a slower ball on a good length on middle and leg, as Najib got his front leg out of the way and went for a hoick. 82/4","6.3 to Hazratullah Zazai, hacked over backward point... Livingstone holds a blinder! Big celebration from the fielder, as he runs around in the deep and plunges full length for the catch. Hazrat haznot timed many tonight, but he almost hit that too well, such was the hang time that allowed Livingstone to get under it. 35/214.1 to Najibullah Zadran, another brilliant catch today, this time by Rashid! Great effort there, as he has to turn around at midwicket, and run rather gently while ensuring he doesn't lose his concentration off the ball. And is it descends, he stretches and dives forward as the ball is stuck in his fingers. It was a slower ball on a good length on middle and leg, as Najib got his front leg out of the way and went for a hoick. 82/4","6.3 to Hazratullah Zazai, hacked over backward point... Livingstone holds a blinder! Big celebration from the fielder, as he runs around in the deep and plunges full length for the catch. Hazrat haznot timed many tonight, but he almost hit that too well, such was the hang time that allowed Livingstone to get under it. 35/214.1 to Najibullah Zadran, another brilliant catch today, this time by Rashid! Great effort there, as he has to turn around at midwicket, and run rather gently while ensuring he doesn't lose his concentration off the ball. And is it descends, he stretches and dives forward as the ball is stuck in his fingers. It was a slower ball on a good length on middle and leg, as Najib got his front leg out of the way and went for a hoick. 82/4","6.3 to Hazratullah Zazai, hacked over backward point... Livingstone holds a blinder! Big celebration from the fielder, as he runs around in the deep and plunges full length for the catch. Hazrat haznot timed many tonight, but he almost hit that too well, such was the hang time that allowed Livingstone to get under it. 35/214.1 to Najibullah Zadran, another brilliant catch today, this time by Rashid! Great effort there, as he has to turn around at midwicket, and run rather gently while ensuring he doesn't lose his concentration off the ball. And is it descends, he stretches and dives forward as the ball is stuck in his fingers. It was a slower ball on a good length on middle and leg, as Najib got his front leg out of the way and went for a hoick. 82/4","6.3 to Hazratullah Zazai, hacked over backward point... Livingstone holds a blinder! Big celebration from the fielder, as he runs around in the deep and plunges full length for the catch. Hazrat haznot timed many tonight, but he almost hit that too well, such was the hang time that allowed Livingstone to get under it. 35/214.1 to Najibullah Zadran, another brilliant catch today, this time by Rashid! Great effort there, as he has to turn around at midwicket, and run rather gently while ensuring he doesn't lose his concentration off the ball. And is it descends, he stretches and dives forward as the ball is stuck in his fingers. It was a slower ball on a good length on middle and leg, as Najib got his front leg out of the way and went for a hoick. 82/4","6.3 to Hazratullah Zazai, hacked over backward point... Livingstone holds a blinder! Big celebration from the fielder, as he runs around in the deep and plunges full length for the catch. Hazrat haznot timed many tonight, but he almost hit that too well, such was the hang time that allowed Livingstone to get under it. 35/214.1 to Najibullah Zadran, another brilliant catch today, this time by Rashid! Great effort there, as he has to turn around at midwicket, and run rather gently while ensuring he doesn't lose his concentration off the ball. And is it descends, he stretches and dives forward as the ball is stuck in his fingers. It was a slower ball on a good length on middle and leg, as Najib got his front leg out of the way and went for a hoick. 82/4","6.3 to Hazratullah Zazai, hacked over backward point... Livingstone holds a blinder! Big celebration from the fielder, as he runs around in the deep and plunges full length for the catch. Hazrat haznot timed many tonight, but he almost hit that too well, such was the hang time that allowed Livingstone to get under it. 35/214.1 to Najibullah Zadran, another brilliant catch today, this time by Rashid! Great effort there, as he has to turn around at midwicket, and run rather gently while ensuring he doesn't lose his concentration off the ball. And is it descends, he stretches and dives forward as the ball is stuck in his fingers. It was a slower ball on a good length on middle and leg, as Najib got his front leg out of the way and went for a hoick. 82/4","6.3 to Hazratullah Zazai, hacked over backward point... Livingstone holds a blinder! Big celebration from the fielder, as he runs around in the deep and plunges full length for the catch. Hazrat haznot timed many tonight, but he almost hit that too well, such was the hang time that allowed Livingstone to get under it. 35/214.1 to Najibullah Zadran, another brilliant catch today, this time by Rashid! Great effort there, as he has to turn around at midwicket, and run rather gently while ensuring he doesn't lose his concentration off the ball. And is it descends, he stretches and dives forward as the ball is stuck in his fingers. It was a slower ball on a good length on middle and leg, as Najib got his front leg out of the way and went for a hoick. 82/4","6.3 to Hazratullah Zazai, hacked over backward point... Livingstone holds a blinder! Big celebration from the fielder, as he runs around in the deep and plunges full length for the catch. Hazrat haznot timed many tonight, but he almost hit that too well, such was the hang time that allowed Livingstone to get under it. 35/214.1 to Najibullah Zadran, another brilliant catch today, this time by Rashid! Great effort there, as he has to turn around at midwicket, and run rather gently while ensuring he doesn't lose his concentration off the ball. And is it descends, he stretches and dives forward as the ball is stuck in his fingers. It was a slower ball on a good length on middle and leg, as Najib got his front leg out of the way and went for a hoick. 82/4","6.3 to Hazratullah Zazai, hacked over backward point... Livingstone holds a blinder! Big celebration from the fielder, as he runs around in the deep and plunges full length for the catch. Hazrat haznot timed many tonight, but he almost hit that too well, such was the hang time that allowed Livingstone to get under it. 35/214.1 to Najibullah Zadran, another brilliant catch today, this time by Rashid! Great effort there, as he has to turn around at midwicket, and run rather gently while ensuring he doesn't lose his concentration off the ball. And is it descends, he stretches and dives forward as the ball is stuck in his fingers. It was a slower ball on a good length on middle and leg, as Najib got his front leg out of the way and went for a hoick. 82/4","6.3 to Hazratullah Zazai, hacked over backward point... Livingstone holds a blinder! Big celebration from the fielder, as he runs around in the deep and plunges full length for the catch. Hazrat haznot timed many tonight, but he almost hit that too well, such was the hang time that allowed Livingstone to get under it. 35/214.1 to Najibullah Zadran, another brilliant catch today, this time by Rashid! Great effort there, as he has to turn around at midwicket, and run rather gently while ensuring he doesn't lose his concentration off the ball. And is it descends, he stretches and dives forward as the ball is stuck in his fingers. It was a slower ball on a good length on middle and leg, as Najib got his front leg out of the way and went for a hoick. 82/4",T20I # 1840
262,Afghanistan VS England,Afghanistan,Chris Woakes,4,0,24,1,6.00,15,2,1,1,0,T20I # 1840
263,Afghanistan VS England,Afghanistan,"18.2 to Mujeeb Ur Rahman, a one-handed return catch! This was a decent take too. Woakes just stuck his right hand out, and the ball arrived like a magnet. Good length ball on middle, and Mujeeb made room to hoick, but only ended up swatting back to the bowler. 110/8","18.2 to Mujeeb Ur Rahman, a one-handed return catch! This was a decent take too. Woakes just stuck his right hand out, and the ball arrived like a magnet. Good length ball on middle, and Mujeeb made room to hoick, but only ended up swatting back to the bowler. 110/8","18.2 to Mujeeb Ur Rahman, a one-handed return catch! This was a decent take too. Woakes just stuck his right hand out, and the ball arrived like a magnet. Good length ball on middle, and Mujeeb made room to hoick, but only ended up swatting back to the bowler. 110/8","18.2 to Mujeeb Ur Rahman, a one-handed return catch! This was a decent take too. Woakes just stuck his right hand out, and the ball arrived like a magnet. Good length ball on middle, and Mujeeb made room to hoick, but only ended up swatting back to the bowler. 110/8","18.2 to Mujeeb Ur Rahman, a one-handed return catch! This was a decent take too. Woakes just stuck his right hand out, and the ball arrived like a magnet. Good length ball on middle, and Mujeeb made room to hoick, but only ended up swatting back to the bowler. 110/8","18.2 to Mujeeb Ur Rahman, a one-handed return catch! This was a decent take too. Woakes just stuck his right hand out, and the ball arrived like a magnet. Good length ball on middle, and Mujeeb made room to hoick, but only ended up swatting back to the bowler. 110/8","18.2 to Mujeeb Ur Rahman, a one-handed return catch! This was a decent take too. Woakes just stuck his right hand out, and the ball arrived like a magnet. Good length ball on middle, and Mujeeb made room to hoick, but only ended up swatting back to the bowler. 110/8","18.2 to Mujeeb Ur Rahman, a one-handed return catch! This was a decent take too. Woakes just stuck his right hand out, and the ball arrived like a magnet. Good length ball on middle, and Mujeeb made room to hoick, but only ended up swatting back to the bowler. 110/8","18.2 to Mujeeb Ur Rahman, a one-handed return catch! This was a decent take too. Woakes just stuck his right hand out, and the ball arrived like a magnet. Good length ball on middle, and Mujeeb made room to hoick, but only ended up swatting back to the bowler. 110/8","18.2 to Mujeeb Ur Rahman, a one-handed return catch! This was a decent take too. Woakes just stuck his right hand out, and the ball arrived like a magnet. Good length ball on middle, and Mujeeb made room to hoick, but only ended up swatting back to the bowler. 110/8","18.2 to Mujeeb Ur Rahman, a one-handed return catch! This was a decent take too. Woakes just stuck his right hand out, and the ball arrived like a magnet. Good length ball on middle, and Mujeeb made room to hoick, but only ended up swatting back to the bowler. 110/8",T20I # 1840
264,Afghanistan VS England,Afghanistan,Mark Wood,4,0,23,2,5.75,14,2,1,0,0,T20I # 1840
265,Afghanistan VS England,Afghanistan,"2.1 to Rahmanullah Gurbaz, nicked off first ball! Wood hammers a length, 146kph/91mph and coming back at Gurbaz, who's looking to defend but can only feather through to the keeper! He consults his partner but won't be reviewing. Perth-fect start to the WC for Wood. 11/115.3 to Mohammad Nabi, this time it is Buttler! They continue to compete for catches of the tournament already! He flies to his left full stretch, with his glove dangling in the air, as the ball comes and sticks in. Wood fired in a short delivery, which angled in to end just about on leg stump. Nabi looked for a soft touch down the leg side, but ended up gloving it behind for Buttler to grab a fantastic catch. 91/5","2.1 to Rahmanullah Gurbaz, nicked off first ball! Wood hammers a length, 146kph/91mph and coming back at Gurbaz, who's looking to defend but can only feather through to the keeper! He consults his partner but won't be reviewing. Perth-fect start to the WC for Wood. 11/115.3 to Mohammad Nabi, this time it is Buttler! They continue to compete for catches of the tournament already! He flies to his left full stretch, with his glove dangling in the air, as the ball comes and sticks in. Wood fired in a short delivery, which angled in to end just about on leg stump. Nabi looked for a soft touch down the leg side, but ended up gloving it behind for Buttler to grab a fantastic catch. 91/5","2.1 to Rahmanullah Gurbaz, nicked off first ball! Wood hammers a length, 146kph/91mph and coming back at Gurbaz, who's looking to defend but can only feather through to the keeper! He consults his partner but won't be reviewing. Perth-fect start to the WC for Wood. 11/115.3 to Mohammad Nabi, this time it is Buttler! They continue to compete for catches of the tournament already! He flies to his left full stretch, with his glove dangling in the air, as the ball comes and sticks in. Wood fired in a short delivery, which angled in to end just about on leg stump. Nabi looked for a soft touch down the leg side, but ended up gloving it behind for Buttler to grab a fantastic catch. 91/5","2.1 to Rahmanullah Gurbaz, nicked off first ball! Wood hammers a length, 146kph/91mph and coming back at Gurbaz, who's looking to defend but can only feather through to the keeper! He consults his partner but won't be reviewing. Perth-fect start to the WC for Wood. 11/115.3 to Mohammad Nabi, this time it is Buttler! They continue to compete for catches of the tournament already! He flies to his left full stretch, with his glove dangling in the air, as the ball comes and sticks in. Wood fired in a short delivery, which angled in to end just about on leg stump. Nabi looked for a soft touch down the leg side, but ended up gloving it behind for Buttler to grab a fantastic catch. 91/5","2.1 to Rahmanullah Gurbaz, nicked off first ball! Wood hammers a length, 146kph/91mph and coming back at Gurbaz, who's looking to defend but can only feather through to the keeper! He consults his partner but won't be reviewing. Perth-fect start to the WC for Wood. 11/115.3 to Mohammad Nabi, this time it is Buttler! They continue to compete for catches of the tournament already! He flies to his left full stretch, with his glove dangling in the air, as the ball comes and sticks in. Wood fired in a short delivery, which angled in to end just about on leg stump. Nabi looked for a soft touch down the leg side, but ended up gloving it behind for Buttler to grab a fantastic catch. 91/5","2.1 to Rahmanullah Gurbaz, nicked off first ball! Wood hammers a length, 146kph/91mph and coming back at Gurbaz, who's looking to defend but can only feather through to the keeper! He consults his partner but won't be reviewing. Perth-fect start to the WC for Wood. 11/115.3 to Mohammad Nabi, this time it is Buttler! They continue to compete for catches of the tournament already! He flies to his left full stretch, with his glove dangling in the air, as the ball comes and sticks in. Wood fired in a short delivery, which angled in to end just about on leg stump. Nabi looked for a soft touch down the leg side, but ended up gloving it behind for Buttler to grab a fantastic catch. 91/5","2.1 to Rahmanullah Gurbaz, nicked off first ball! Wood hammers a length, 146kph/91mph and coming back at Gurbaz, who's looking to defend but can only feather through to the keeper! He consults his partner but won't be reviewing. Perth-fect start to the WC for Wood. 11/115.3 to Mohammad Nabi, this time it is Buttler! They continue to compete for catches of the tournament already! He flies to his left full stretch, with his glove dangling in the air, as the ball comes and sticks in. Wood fired in a short delivery, which angled in to end just about on leg stump. Nabi looked for a soft touch down the leg side, but ended up gloving it behind for Buttler to grab a fantastic catch. 91/5","2.1 to Rahmanullah Gurbaz, nicked off first ball! Wood hammers a length, 146kph/91mph and coming back at Gurbaz, who's looking to defend but can only feather through to the keeper! He consults his partner but won't be reviewing. Perth-fect start to the WC for Wood. 11/115.3 to Mohammad Nabi, this time it is Buttler! They continue to compete for catches of the tournament already! He flies to his left full stretch, with his glove dangling in the air, as the ball comes and sticks in. Wood fired in a short delivery, which angled in to end just about on leg stump. Nabi looked for a soft touch down the leg side, but ended up gloving it behind for Buttler to grab a fantastic catch. 91/5","2.1 to Rahmanullah Gurbaz, nicked off first ball! Wood hammers a length, 146kph/91mph and coming back at Gurbaz, who's looking to defend but can only feather through to the keeper! He consults his partner but won't be reviewing. Perth-fect start to the WC for Wood. 11/115.3 to Mohammad Nabi, this time it is Buttler! They continue to compete for catches of the tournament already! He flies to his left full stretch, with his glove dangling in the air, as the ball comes and sticks in. Wood fired in a short delivery, which angled in to end just about on leg stump. Nabi looked for a soft touch down the leg side, but ended up gloving it behind for Buttler to grab a fantastic catch. 91/5","2.1 to Rahmanullah Gurbaz, nicked off first ball! Wood hammers a length, 146kph/91mph and coming back at Gurbaz, who's looking to defend but can only feather through to the keeper! He consults his partner but won't be reviewing. Perth-fect start to the WC for Wood. 11/115.3 to Mohammad Nabi, this time it is Buttler! They continue to compete for catches of the tournament already! He flies to his left full stretch, with his glove dangling in the air, as the ball comes and sticks in. Wood fired in a short delivery, which angled in to end just about on leg stump. Nabi looked for a soft touch down the leg side, but ended up gloving it behind for Buttler to grab a fantastic catch. 91/5","2.1 to Rahmanullah Gurbaz, nicked off first ball! Wood hammers a length, 146kph/91mph and coming back at Gurbaz, who's looking to defend but can only feather through to the keeper! He consults his partner but won't be reviewing. Perth-fect start to the WC for Wood. 11/115.3 to Mohammad Nabi, this time it is Buttler! They continue to compete for catches of the tournament already! He flies to his left full stretch, with his glove dangling in the air, as the ball comes and sticks in. Wood fired in a short delivery, which angled in to end just about on leg stump. Nabi looked for a soft touch down the leg side, but ended up gloving it behind for Buttler to grab a fantastic catch. 91/5",T20I # 1840
266,Afghanistan VS England,Afghanistan,Sam Curran,3.4,0,10,5,2.72,16,1,0,1,0,T20I # 1840
